Recency,Frequency,Monetary,cluster,segments,score
167,2,84.67999999999998,4,Loss,1
42,1,415.78999999999996,0,Potential Loss,2
65,2,361.92499999999995,0,Potential Loss,2
178,1,254.54999999999998,0,Potential Loss,2
26,13,311.42538461538464,2,Loyalist,5
2,126,143.0355555555555,2,Loyalist,5
63,4,701.62,3,Churn,3
125,1,519.4499999999999,0,Potential Loss,2
156,1,540.5200000000001,0,Potential Loss,2
52,6,266.47999999999996,3,Churn,3
161,1,128.08,4,Loss,1
62,13,364.7692307692308,3,Churn,3
131,2,259.315,0,Potential Loss,2
42,5,204.56600000000003,3,Churn,3
159,1,92.3,4,Loss,1
306,2,118.03,4,Loss,1
4,36,138.80694444444444,2,Loyalist,5
27,10,354.889,3,Churn,3
207,1,554.31,0,Potential Loss,2
7,9,301.7055555555555,2,Loyalist,5
17,10,351.053,2,Loyalist,5
75,3,438.40000000000003,3,Churn,3
4,17,206.96058823529415,2,Loyalist,5
42,1,401.80000000000007,0,Potential Loss,2
20,19,246.7273684210526,2,Loyalist,5
80,2,161.32000000000002,4,Loss,1
25,1,765.3600000000001,0,Potential Loss,2
313,1,208.00000000000003,4,Loss,1
19,4,507.705,3,Churn,3
83,1,330.0,0,Potential Loss,2
115,1,148.95000000000002,4,Loss,1
124,5,390.08000000000004,3,Churn,3
199,3,381.39333333333326,0,Potential Loss,2
62,4,153.21000000000004,3,Churn,3
74,4,645.3999999999999,3,Churn,3
21,1,177.92000000000004,1,Potential,4
156,1,575.0999999999999,0,Potential Loss,2
331,1,55.47,4,Loss,1
257,1,68.25,4,Loss,1
63,2,504.1599999999999,0,Potential Loss,2
17,5,454.2700000000001,3,Churn,3
146,1,152.45,4,Loss,1
68,5,716.1659999999999,3,Churn,3
1,3,213.33333333333337,2,Loyalist,5
319,1,337.66999999999996,0,Potential Loss,2
13,3,558.9833333333335,3,Churn,3
77,1,363.38,0,Potential Loss,2
3,10,267.83000000000004,2,Loyalist,5
154,2,826.6499999999999,0,Potential Loss,2
41,3,337.9200000000001,3,Churn,3
52,8,177.425,3,Churn,3
19,2,320.06500000000005,1,Potential,4
21,1,222.40000000000003,1,Potential,4
19,4,96.36500000000001,1,Potential,4
25,1,336.79999999999984,1,Potential,4
5,8,63.6875,2,Loyalist,5
123,1,263.38000000000005,0,Potential Loss,2
213,1,157.35,4,Loss,1
19,2,148.875,1,Potential,4
297,2,155.48000000000002,4,Loss,1
51,1,366.4,0,Potential Loss,2
60,1,340.3300000000001,0,Potential Loss,2
155,1,833.5300000000001,0,Potential Loss,2
7,2,509.21000000000004,1,Potential,4
92,2,254.455,0,Potential Loss,2
18,3,342.0,1,Potential,4
32,3,308.1733333333334,3,Churn,3
17,5,544.2959999999999,3,Churn,3
189,1,1680.47,0,Potential Loss,2
18,7,496.4671428571429,2,Loyalist,5
245,1,223.98000000000002,4,Loss,1
110,3,270.3666666666667,3,Churn,3
38,3,549.29,3,Churn,3
68,4,553.0749999999999,3,Churn,3
209,1,184.96000000000004,4,Loss,1
23,35,482.5785714285714,2,Loyalist,5
28,2,306.45,1,Potential,4
31,5,251.07,3,Churn,3
230,1,35.28,4,Loss,1
49,3,385.8066666666667,3,Churn,3
62,1,197.31000000000003,4,Loss,1
16,7,320.3128571428571,2,Loyalist,5
1,40,1225.56575,2,Loyalist,5
71,8,212.32,3,Churn,3
18,4,230.92749999999995,1,Potential,4
13,8,260.39500000000004,2,Loyalist,5
4,3,426.25666666666666,2,Loyalist,5
11,12,1140.25,2,Loyalist,5
91,1,258.75,0,Potential Loss,2
196,2,248.24999999999997,0,Potential Loss,2
294,1,437.1600000000001,0,Potential Loss,2
74,1,324.45,0,Potential Loss,2
334,1,304.04,0,Potential Loss,2
20,13,735.7523076923078,2,Loyalist,5
24,9,238.84999999999997,3,Churn,3
219,1,498.96,0,Potential Loss,2
39,1,162.45,1,Potential,4
322,1,137.12000000000003,4,Loss,1
39,4,895.3700000000001,3,Churn,3
221,2,269.745,0,Potential Loss,2
4,1,150.95,1,Potential,4
37,4,330.5175000000001,3,Churn,3
17,1,211.99,1,Potential,4
73,5,348.992,3,Churn,3
75,1,132.24,4,Loss,1
21,2,1323.0100000000002,0,Potential Loss,2
240,1,122.45,4,Loss,1
18,5,162.41799999999998,1,Potential,4
1,32,147.5446875,2,Loyalist,5
51,4,290.3,3,Churn,3
51,1,385.55,0,Potential Loss,2
203,1,264.15,0,Potential Loss,2
74,5,331.692,3,Churn,3
