Customer ID,Recency,Frequency,Monetary,cluster,segments,score
12346,327,1,77183.6,0,Potential Loss,1
12747,24,9,387.7488888888889,2,Churn,3
12748,6,171,164.5112280701755,4,Loyalist,5
12749,24,5,808.1760000000002,2,Churn,3
12820,46,4,235.585,2,Churn,3
12821,97,1,92.72,1,Loss,2
12822,72,2,474.44,0,Potential Loss,1
12823,76,5,351.9,2,Churn,3
12824,31,1,397.12000000000006,0,Potential Loss,1
12826,61,6,219.95333333333338,2,Churn,3
12827,46,3,143.38333333333335,3,Potential,4
12828,114,6,169.78500000000003,2,Churn,3
12829,163,1,207.25,1,Loss,2
12830,93,6,1135.7733333333333,2,Churn,3
12831,264,1,215.04999999999998,1,Loss,2
12832,153,2,191.51500000000004,1,Loss,2
12833,147,1,417.38000000000005,0,Potential Loss,1
12834,311,1,312.38000000000005,0,Potential Loss,1
12836,31,4,653.2149999999999,2,Churn,3
12837,175,1,134.10000000000002,1,Loss,2
12838,183,1,292.34,0,Potential Loss,1
12839,13,12,404.4975,4,Loyalist,5
12840,66,4,681.6925000000001,2,Churn,3
12841,5,23,152.88521739130437,4,Loyalist,5
12842,72,2,559.4950000000001,0,Potential Loss,1
12843,67,8,212.7825,2,Churn,3
12844,61,2,162.98000000000002,1,Loss,2
12845,269,4,88.5225,1,Loss,2
12847,24,1,871.5400000000002,0,Potential Loss,1
12849,122,2,516.6250000000001,0,Potential Loss,1
12851,246,1,135.17999999999995,1,Loss,2
12852,296,1,311.55000000000007,0,Potential Loss,1
12853,136,6,326.18333333333334,2,Churn,3
12854,7,3,441.5,3,Potential,4
12856,20,6,363.32166666666666,2,Churn,3
12857,70,2,553.2,0,Potential Loss,1
12863,54,1,521.2,0,Potential Loss,1
12864,140,1,147.11999999999998,1,Loss,2
12867,28,6,612.3383333333335,2,Churn,3
12868,10,5,280.752,4,Loyalist,5
12871,86,2,190.32,1,Loss,2
12872,328,1,221.44000000000005,1,Loss,2
12873,311,1,374.0,0,Potential Loss,1
12875,145,1,49.47000000000001,1,Loss,2
